response,response_label,channel,response_role,shock,horizon_months,sample_name,controls,nobs,sample_start,sample_end,raw_coefficient_per_unit_shock,raw_std_error_hac,coefficient,std_error_hac,t_stat,p_value,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,bootstrap_ci_90_low,bootstrap_ci_90_high,bootstrap_ci_68_low,bootstrap_ci_68_high,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_replications,bootstrap_method,ci_method,horizon_consistent_bandwidth,coefficient_10bp_equiv,std_error_10bp_equiv,shock_scale_raw_units,shock_normalization,optional_10bp_scaling_note,r_squared,hac_bandwidth,interpretation_layer,bootstrap_feasible,policy_rate_ols_coefficient,policy_rate_ols_p_value,policy_rate_ols_nobs,surprise_lp_sign,policy_rate_ols_sign,sign_match,comparison_use
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,0,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,-0.0014653835154146986,0.0011402444857465763,-0.0035577335257035454,0.0027683442537506397,-1.2851485218586582,0.19874038848960532,-0.008111254612135552,0.0009957875607284608,-0.008983588559863212,0.0018681215084561213,-0.00631073529228429,-0.0008047317591228006,-0.007564601743948043,0.0004235574167507432,-0.005488130457917612,-0.001495670675793103,-0.008088839851481159,0.001694844592744018,399,fixed_design_circular_block_residual_percentile_b3,HAC_Newey_West_horizon_bandwidth,1,-0.014653835154146986,0.011402444857465763,2.42785147251825,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.0576632939284335,1,reduced_form_dynamic_transmission,True,-0.0021222774317733017,0.3353851684175754,247.0,negative,negative,True,qualitative_direction_check_not_causal_validation
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,1,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,-0.0007837645969479965,0.0017771074377820988,-0.00190668791322244,0.004323223178632104,-0.4410338847752312,0.6591884662663611,-0.009017757238716128,0.0052043814122712485,-0.010380049640470136,0.006566673814025256,-0.006205951284088263,0.0023925754576433825,-0.006579345906461123,0.0036928019236535706,-0.004554283634769551,0.0014979127166561655,-0.007473163220933601,0.0044809531988995715,399,fixed_design_circular_block_residual_percentile_b3,HAC_Newey_West_horizon_bandwidth,2,-0.007837645969479966,0.017771074377820988,2.4327303384806376,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.06560978875686208,2,reduced_form_dynamic_transmission,True,-0.0017456137021064349,0.7192810013906031,246.0,negative,negative,True,qualitative_direction_check_not_causal_validation
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,3,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-07,-0.001226280238320256,0.0024864205555872195,-0.0029953844087471614,0.006073477442640925,-0.4931909992316825,0.6218776370539294,-0.012985365808483038,0.006994596990988715,-0.014899181457239806,0.008908412639745483,-0.009035201930078039,0.0030444331125837167,-0.010485928486954765,0.004634856458879838,-0.0068534063452955814,0.0011281022956154412,-0.012850698166039896,0.005550485598656176,399,fixed_design_circular_block_residual_percentile_b4,HAC_Newey_West_horizon_bandwidth,4,-0.01226280238320256,0.024864205555872196,2.442658957670396,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.14893491505520617,4,reduced_form_dynamic_transmission,True,0.00498400409695544,0.559029447904318,244.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,6,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",240,2005-04,2025-04,-0.0013781437713992375,0.0029289068340415288,-0.003378938290741433,0.007181105235130231,-0.4705317886460628,0.6379751283157991,-0.015190805282265598,0.008432928700782733,-0.017453645920788723,0.010695769339305857,-0.010520245001975518,0.0037623684204926527,-0.012891729756877931,0.005652136852146379,-0.008843230398190221,0.002331989411876671,-0.01605800390993947,0.007509634150230722,399,fixed_design_circular_block_residual_percentile_b7,HAC_Newey_West_horizon_bandwidth,7,-0.013781437713992376,0.029289068340415288,2.4518039125270485,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.19397348731573139,7,reduced_form_dynamic_transmission,True,0.003074286509266222,0.7719658736743932,241.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,12,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",234,2005-04,2024-10,-0.0039599540261483455,0.00476725662308395,-0.009825398596328043,0.011828469781085763,-0.8306567779409034,0.4061675498769006,-0.02928150001703285,0.009630702824376761,-0.033008773359476516,0.013357976166820431,-0.02158831361643712,0.0019375164237810348,-0.02753150951011618,0.00847085684181981,-0.019755173607221323,0.0010025450350217523,-0.032283422132491905,0.012021275635538616,399,fixed_design_circular_block_residual_percentile_b13,HAC_Newey_West_horizon_bandwidth,13,-0.039599540261483455,0.0476725662308395,2.4811900672202323,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.22786436086080109,13,reduced_form_dynamic_transmission,True,0.005656978866247393,0.7385799358227267,235.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,24,full,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",222,2005-04,2023-10,-0.004163270512479492,0.005836514598969082,-0.010601283414681577,0.014862004578402378,-0.7133145033535702,0.47565116480689934,-0.03504710554923611,0.01384453871987296,-0.039730277126419626,0.018527710297056472,-0.025380921027973263,0.00417835419861011,-0.025930737759789983,0.005911081265281052,-0.02047921610454008,0.0005575351518641701,-0.03033698368908999,0.007573498641581915,399,fixed_design_circular_block_residual_percentile_b25,HAC_Newey_West_horizon_bandwidth,25,-0.04163270512479492,0.05836514598969082,2.546383518174955,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.2990065477731757,25,reduced_form_dynamic_transmission,True,0.0005272170572356581,0.9735104799694331,223.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,0,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,-0.0005714022517740976,0.001909697119448086,-0.0013872797983699866,0.004636460963515896,-0.2992109303381241,0.76477910991358,-0.009013579430428026,0.006239019833688052,-0.010474576302587019,0.007700016705847046,-0.005998044953732656,0.0032234853569926836,-0.006639035130668697,0.004651387373916854,-0.004878470769952211,0.001982180924770858,-0.007966862706990778,0.005788930173397451,399,fixed_design_circular_block_residual_percentile_b3,HAC_Newey_West_horizon_bandwidth,1,-0.005714022517740976,0.01909697119448086,2.42785147251825,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.021792910391209896,1,reduced_form_dynamic_transmission,True,0.0040234969402219165,0.3399700496909277,247.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,1,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,-0.0008438821707678842,0.0022687300394145372,-0.00205293775892993,0.005519208396706117,-0.3719623560790222,0.7099208771010195,-0.011131227708153007,0.007025352190293146,-0.012870387439644975,0.008764511921785114,-0.00754155805811179,0.0034356825402519302,-0.009638884033170633,0.005769717966628767,-0.006458073578205405,0.00244051289159347,-0.01136807027039266,0.008029638117522104,399,fixed_design_circular_block_residual_percentile_b3,HAC_Newey_West_horizon_bandwidth,2,-0.008438821707678842,0.022687300394145373,2.4327303384806376,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.03622384648360566,2,reduced_form_dynamic_transmission,True,0.006509265391503654,0.32403785290686,246.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,3,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-07,-0.0025520734238876543,0.0021232223293360143,-0.006233845009491736,0.005186308041878419,-1.20198124738343,0.22937079369061136,-0.014764562602663043,0.0022968725836795692,-0.01639882198430389,0.003931131965320416,-0.011391409926491868,-0.0010762800924916044,-0.015439454266810886,0.0033089398177562606,-0.01189228327090302,-0.0002484458138106525,-0.016873230852820813,0.004399528855642991,399,fixed_design_circular_block_residual_percentile_b4,HAC_Newey_West_horizon_bandwidth,4,-0.025520734238876543,0.021232223293360143,2.442658957670396,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.05761612129940408,4,reduced_form_dynamic_transmission,True,0.015716392191779956,0.12908019057062642,244.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,6,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",240,2005-04,2025-04,-0.0036053834238804123,0.0033076840886869124,-0.00883969318483016,0.008109792790046037,-1.0900023482326213,0.2757121096653244,-0.02217911526936228,0.004499728899701962,-0.024734594975402993,0.007055208605742672,-0.01690454055608906,-0.0007748458135712621,-0.019928885859175894,0.00410459960311942,-0.015533151076223994,-0.0007432472599346974,-0.022130894690152638,0.0070866206523253665,399,fixed_design_circular_block_residual_percentile_b7,HAC_Newey_West_horizon_bandwidth,7,-0.03605383423880412,0.03307684088686912,2.4518039125270485,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.06228573169505758,7,reduced_form_dynamic_transmission,True,0.012603436222540466,0.07240958141708215,241.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,12,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",234,2005-04,2024-10,-0.008488501162832568,0.004070754665926043,-0.021061584770807558,0.010100316043186112,-2.0852401727583714,0.03704750501741938,-0.03767512624779838,-0.004448043293816737,-0.04085784044792444,-0.0012653290936906723,-0.031105923682863926,-0.011017245858751188,-0.03889046242636156,-0.004291720349956098,-0.03295780870886508,-0.011020047327995641,-0.04079387199729331,-0.001935917010825171,399,fixed_design_circular_block_residual_percentile_b13,HAC_Newey_West_horizon_bandwidth,13,-0.08488501162832568,0.04070754665926043,2.4811900672202323,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.09069319881667925,13,reduced_form_dynamic_transmission,True,0.0018508350089187563,0.8705903793423381,235.0,negative,positive,False,qualitative_direction_check_not_causal_validation
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,24,full,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",222,2005-04,2023-10,-0.010683286477215758,0.005110546183839966,-0.027203744605523585,0.013013410571402003,-2.090439278485992,0.03657835762670911,-0.0486089001829028,-0.005798589028144369,-0.05270956064150432,-0.0016979285695428517,-0.040145033335699444,-0.014262455875347725,-0.04438930897505919,-0.00673695200781927,-0.037659143219220224,-0.013777783355695102,-0.04690360205207979,-0.002995580887314506,399,fixed_design_circular_block_residual_percentile_b25,HAC_Newey_West_horizon_bandwidth,25,-0.10683286477215759,0.05110546183839966,2.546383518174955,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.2132608818677656,25,reduced_form_dynamic_transmission,True,-0.0003752776255021032,0.9847124365172851,223.0,negative,negative,True,qualitative_direction_check_not_causal_validation
